,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1.0,2,10588112,75,Apartment,9,Private room,5.0
1,1.0,2,12066730,70,Apartment,2,Private room,0.0
2,1.0,2,1633173,59,House,19,Private room,4.5
3,1.0,2,12344514,125,Apartment,0,Entire home/apt,0.0
4,1.0,1,1093088,68,Apartment,109,Private room,5.0
5,2.0,4,9493932,175,Apartment,19,Entire home/apt,5.0
6,1.0,1,9080727,55,House,27,Shared room,4.5
7,1.0,2,562311,103,Apartment,140,Private room,5.0
8,0.0,2,3511756,148,Apartment,5,Entire home/apt,5.0
9,0.0,2,6544442,125,Apartment,14,Entire home/apt,5.0
10,1.0,3,7180020,229,Loft,50,Entire home/apt,5.0
11,2.0,4,1510363,120,House,115,Entire home/apt,5.0
12,1.0,2,9051149,99,Apartment,62,Private room,5.0
13,1.0,2,7458945,200,Loft,8,Entire home/apt,4.5
14,1.0,2,6835664,85,House,30,Private room,5.0
15,1.0,2,9695372,76,Apartment,13,Private room,5.0
16,1.0,2,10885556,150,House,4,Private room,5.0
17,1.0,2,11924237,140,House,0,Entire home/apt,0.0
0,1.0,2,4053544,120,Apartment,12,Private room,4.5
1,1.0,2,1237296,200,Apartment,98,Entire home/apt,5.0
2,0.0,2,8972002,160,Apartment,10,Entire home/apt,5.0
3,1.0,2,8088720,95,Bungalow,3,Private room,5.0
4,1.0,2,7973978,73,Apartment,46,Private room,4.5
5,1.0,2,9340256,195,House,32,Entire home/apt,5.0
6,1.0,1,6926410,52,Apartment,16,Private room,5.0
7,1.0,2,10418322,104,House,7,Private room,5.0
8,1.0,3,9347891,130,House,26,Entire home/apt,5.0
9,1.0,2,6968158,110,House,13,Private room,5.0
10,0.0,2,8777405,125,Apartment,23,Entire home/apt,5.0
11,1.0,2,10707366,81,Apartment,9,Private room,4.5
12,1.0,1,4480642,84,House,65,Private room,4.5
13,1.0,1,7204241,40,Apartment,37,Shared room,5.0
14,1.0,2,11593303,75,Apartment,1,Private room,0.0
15,1.0,2,6092596,174,Condominium,73,Entire home/apt,5.0
16,0.0,2,10899353,149,Apartment,5,Entire home/apt,4.5
17,1.0,2,9578797,107,Apartment,5,Entire home/apt,5.0
0,0.0,2,9735960,150,Apartment,9,Entire home/apt,5.0
1,1.0,1,9080895,55,House,18,Shared room,4.5
2,1.0,2,998701,97,House,100,Private room,5.0
3,1.0,1,9908325,79,Apartment,2,Entire home/apt,0.0
4,1.0,2,9435665,75,House,28,Private room,4.5
5,0.0,4,7823272,145,Apartment,25,Entire home/apt,5.0
6,1.0,2,242008,160,Apartment,20,Entire home/apt,5.0
7,1.0,4,12325197,129,Apartment,0,Entire home/apt,0.0
8,0.0,2,8487735,110,Apartment,16,Entire home/apt,5.0
9,1.0,1,2022447,125,Apartment,9,Entire home/apt,5.0
10,1.0,1,3082327,80,House,133,Private room,5.0
11,1.0,2,10529716,89,Apartment,11,Private room,5.0
12,1.0,2,1478708,90,House,9,Private room,5.0
13,1.0,2,10213460,125,Condominium,8,Private room,5.0
14,2.0,4,8630129,135,Apartment,2,Entire home/apt,0.0
15,1.0,2,7955738,90,Apartment,5,Private room,5.0
16,1.0,1,12026856,75,House,5,Private room,4.5
17,1.0,1,5903014,89,Apartment,78,Private room,5.0
0,1.0,2,1478708,90,House,9,Private room,5.0
1,1.0,2,10213460,125,Condominium,8,Private room,5.0
2,2.0,4,8630129,135,Apartment,2,Entire home/apt,0.0
3,1.0,2,11340259,90,Apartment,4,Private room,5.0
4,0.0,2,1407881,160,Apartment,134,Entire home/apt,5.0
5,1.0,2,7955738,90,Apartment,5,Private room,5.0
6,1.0,1,12026856,75,House,5,Private room,4.5
7,1.0,1,5903014,89,Apartment,78,Private room,5.0
8,0.0,3,10509841,195,Apartment,11,Entire home/apt,5.0
9,1.0,2,4654218,55,House,17,Private room,5.0
10,0.0,2,1608763,144,Apartment,67,Entire home/apt,4.5
11,1.0,1,4475374,84,House,55,Private room,5.0
12,1.0,2,12104562,62,Apartment,0,Private room,0.0
13,1.0,3,7193209,145,Apartment,7,Entire home/apt,5.0
14,1.0,2,2917973,94,Apartment,7,Private room,5.0
15,0.0,2,10864428,165,Apartment,6,Entire home/apt,5.0
16,1.0,3,4175303,140,Apartment,36,Private room,5.0
17,1.0,2,11043897,145,Apartment,3,Entire home/apt,5.0
0,2.0,4,8630129,135,Apartment,2,Entire home/apt,0.0
1,1.0,2,7955738,90,Apartment,5,Private room,5.0
2,1.0,2,6384751,149,Apartment,6,Entire home/apt,4.5
3,0.0,2,10597792,199,Apartment,7,Entire home/apt,4.5
4,1.0,1,12026856,75,House,5,Private room,4.5
5,1.0,1,5903014,89,Apartment,78,Private room,5.0
6,0.0,3,10509841,195,Apartment,11,Entire home/apt,5.0
7,1.0,2,4654218,55,House,17,Private room,5.0
8,1.0,1,6246441,43,House,5,Private room,5.0
9,0.0,2,1608763,144,Apartment,67,Entire home/apt,4.5
10,1.0,1,10836169,71,Apartment,9,Private room,5.0
11,1.0,2,12104562,62,Apartment,0,Private room,0.0
12,1.0,2,5914215,79,House,15,Private room,5.0
13,1.0,2,2331166,83,Apartment,83,Private room,5.0
14,1.0,4,10968594,150,Apartment,3,Entire home/apt,4.5
15,1.0,2,2917973,94,Apartment,7,Private room,5.0
16,0.0,2,10864428,165,Apartment,6,Entire home/apt,5.0
17,1.0,3,4175303,140,Apartment,36,Private room,5.0
0,0.0,2,8743545,120,Apartment,5,Entire home/apt,5.0
1,0.0,2,8224358,130,Apartment,15,Entire home/apt,4.5
2,1.0,2,11340259,90,Apartment,4,Private room,5.0
3,1.0,2,216042,147,House,41,Entire home/apt,5.0
4,0.0,2,4681835,145,Apartment,5,Entire home/apt,5.0
5,1.0,2,7066823,69,House,41,Private room,5.0
6,0.0,2,1407881,160,Apartment,134,Entire home/apt,5.0
7,1.0,1,3268637,70,Apartment,179,Private room,4.5
8,1.0,2,2739803,109,Apartment,47,Entire home/apt,5.0
9,1.0,1,4475374,84,House,55,Private room,5.0
10,1.0,2,11983792,85,Other,1,Private room,0.0
11,1.0,4,229240,39,Dorm,160,Shared room,4.5
12,1.0,2,1692470,108,Apartment,187,Private room,5.0
13,0.0,2,8520295,110,Apartment,7,Entire home/apt,4.5
14,1.0,1,1932019,95,Other,46,Private room,5.0
15,1.0,3,7193209,145,Apartment,7,Entire home/apt,5.0
16,1.0,4,12236198,75,Apartment,2,Private room,0.0
17,1.0,2,6810220,95,Apartment,27,Private room,4.5
0,1.0,2,10940485,100,Apartment,6,Private room,5.0
1,1.0,1,11303001,48,Apartment,4,Private room,5.0
2,1.0,1,7462923,40,Apartment,51,Shared room,4.5
3,1.0,2,678556,130,House,193,Entire home/apt,5.0
4,1.0,2,11951068,69,Apartment,4,Private room,4.5
5,1.0,2,10930490,85,House,19,Entire home/apt,5.0
6,1.0,3,8975105,145,Apartment,5,Entire home/apt,5.0
7,1.0,2,8650354,100,Apartment,10,Private room,4.5
8,1.0,2,7965068,98,Apartment,11,Entire home/apt,5.0
9,0.0,4,8456859,160,House,26,Entire home/apt,4.5
10,1.0,1,1566931,70,Apartment,5,Shared room,5.0
11,1.0,2,3811916,130,Apartment,88,Private room,5.0
12,1.0,1,1317908,95,Apartment,43,Private room,5.0
13,0.0,3,12230731,125,Apartment,1,Entire home/apt,0.0
14,1.0,2,5754979,100,Apartment,26,Private room,5.0
15,1.0,1,52713,109,Apartment,125,Private room,4.5
16,1.0,2,6602572,160,Apartment,0,Entire home/apt,0.0
17,1.0,2,12275291,61,House,0,Private room,0.0
0,1.0,2,11856376,71,House,5,Private room,5.0
1,1.0,2,10528294,130,Apartment,7,Private room,5.0
2,0.0,2,8743545,120,Apartment,5,Entire home/apt,5.0
3,1.0,3,8337954,70,Apartment,12,Private room,4.5
4,0.0,2,8224358,130,Apartment,15,Entire home/apt,4.5
5,0.0,2,8288576,90,Apartment,25,Entire home/apt,4.0
6,1.0,2,1551553,120,Apartment,26,Private room,5.0
7,1.0,2,216042,147,House,41,Entire home/apt,5.0
8,0.0,2,4681835,145,Apartment,5,Entire home/apt,5.0
9,1.0,2,7066823,69,House,41,Private room,5.0
10,2.0,4,7933407,204,House,21,Entire home/apt,5.0
11,1.0,3,2160741,199,Apartment,64,Entire home/apt,5.0
12,1.0,1,3268637,70,Apartment,179,Private room,4.5
13,0.0,1,7030125,130,Condominium,10,Entire home/apt,5.0
14,1.0,2,2739803,109,Apartment,47,Entire home/apt,5.0
15,1.0,1,568161,65,House,161,Private room,5.0
16,1.0,2,9696833,99,Condominium,7,Private room,5.0
17,1.0,2,9926871,88,House,2,Private room,0.0
0,1.0,1,4987668,101,Bed & Breakfast,5,Private room,5.0
1,1.0,2,11992133,80,Apartment,4,Private room,5.0
2,1.0,2,10067187,125,Bed & Breakfast,5,Private room,5.0
3,1.0,2,8018902,70,House,22,Private room,5.0
4,1.0,1,10676501,75,House,5,Private room,4.5
5,1.0,4,8584000,210,Apartment,31,Entire home/apt,5.0
6,1.0,2,9154591,159,Apartment,3,Private room,5.0
7,1.0,2,4075240,86,House,9,Private room,5.0
8,1.0,3,3718865,110,House,102,Entire home/apt,5.0
9,1.0,2,10840724,65,Apartment,1,Private room,0.0
10,1.0,2,10839800,84,Apartment,16,Private room,5.0
11,1.0,1,4424186,135,Apartment,50,Entire home/apt,4.5
12,1.0,3,1971246,169,Apartment,31,Entire home/apt,4.5
13,1.0,2,10432527,120,Apartment,1,Private room,0.0
14,1.0,2,2847155,119,House,61,Entire home/apt,5.0
15,1.0,1,6600081,95,House,58,Private room,5.0
16,0.0,2,11477387,100,Apartment,3,Entire home/apt,4.5
17,1.0,2,1261074,120,Apartment,75,Private room,5.0
0,1.0,2,7034114,95,Condominium,5,Private room,5.0
1,1.0,2,654279,90,House,147,Private room,5.0
2,1.0,2,11035694,65,Apartment,2,Private room,0.0
3,1.0,2,6560870,135,Apartment,24,Entire home/apt,5.0
4,1.0,1,1892956,70,Apartment,20,Private room,4.5
5,1.0,3,9351225,140,Apartment,10,Entire home/apt,4.5
6,1.0,2,7885495,89,House,20,Private room,5.0
7,1.0,1,997382,53,House,178,Private room,4.5
8,1.0,2,1130812,120,Apartment,85,Private room,5.0
9,1.0,2,8685943,89,Apartment,24,Private room,4.5
10,1.0,1,9051386,55,House,29,Shared room,5.0
11,1.0,3,4512583,139,Apartment,42,Entire home/apt,4.5
12,1.0,2,7025250,75,House,7,Private room,4.5
13,1.0,1,11303001,48,Apartment,4,Private room,5.0
14,1.0,2,12295920,85,House,0,Private room,0.0
15,1.0,2,678556,130,House,193,Entire home/apt,5.0
16,1.0,2,8848541,99,Apartment,9,Private room,4.5
17,1.0,2,11572744,75,House,1,Private room,0.0
0,0.0,2,3836021,185,Apartment,25,Entire home/apt,5.0
1,1.0,2,4948327,65,House,77,Private room,4.5
2,1.0,1,1566931,70,Apartment,5,Shared room,5.0
3,0.0,2,12346777,180,Apartment,0,Entire home/apt,0.0
4,1.0,1,9074064,55,House,27,Shared room,4.5
5,1.0,2,3030653,140,Apartment,155,Entire home/apt,4.5
6,1.0,2,12095231,70,House,2,Private room,0.0
7,0.0,3,12230731,125,Apartment,1,Entire home/apt,0.0
8,1.0,2,567239,89,House,260,Private room,5.0
9,0.0,2,10783991,125,Apartment,11,Entire home/apt,5.0
10,1.0,2,10546734,200,Apartment,10,Entire home/apt,5.0
11,1.0,2,9464447,85,Apartment,6,Private room,5.0
12,1.0,2,12275291,61,House,0,Private room,0.0
13,1.0,2,10528294,130,Apartment,7,Private room,5.0
14,1.0,2,7226513,100,Apartment,16,Entire home/apt,5.0
15,1.0,3,8337954,70,Apartment,12,Private room,4.5
16,0.0,2,8288576,90,Apartment,25,Entire home/apt,4.0
17,1.0,2,1551553,120,Apartment,26,Private room,5.0
0,0.0,2,3780418,165,Apartment,115,Entire home/apt,5.0
1,0.0,2,9586291,145,Apartment,1,Entire home/apt,0.0
2,1.0,3,10831703,81,Apartment,5,Private room,5.0
3,1.0,1,10836169,71,Apartment,9,Private room,5.0
4,1.0,2,3636904,111,Apartment,19,Entire home/apt,5.0
5,1.0,2,9099548,84,Townhouse,18,Private room,5.0
6,1.0,2,3563032,145,Apartment,28,Private room,4.5
7,0.0,2,8328410,149,Apartment,23,Entire home/apt,4.5
8,1.0,1,2203283,79,Apartment,103,Private room,5.0
9,1.0,2,6730473,110,House,19,Entire home/apt,4.5
10,1.0,2,12191071,78,House,0,Private room,0.0
11,2.0,4,325478,285,Apartment,56,Entire home/apt,5.0
12,1.0,2,5991888,189,Apartment,5,Entire home/apt,5.0
13,1.0,1,7547105,125,Townhouse,24,Private room,5.0
14,1.0,2,5914215,79,House,15,Private room,5.0
15,1.0,2,2331166,83,Apartment,83,Private room,5.0
16,1.0,1,7264335,100,Apartment,5,Private room,5.0
17,1.0,2,12327382,80,Apartment,0,Private room,0.0
0,1.0,1,8799215,105,Apartment,17,Private room,4.5
1,1.0,4,10968594,150,Apartment,3,Entire home/apt,4.5
2,1.0,4,11845487,140,House,3,Entire home/apt,5.0
3,1.0,2,3042811,175,Apartment,7,Entire home/apt,5.0
4,2.0,3,10766080,110,House,7,Entire home/apt,4.5
5,0.0,2,9413866,140,Apartment,6,Entire home/apt,5.0
6,1.0,2,10884348,50,House,0,Private room,0.0
7,2.0,5,10549216,199,Apartment,4,Entire home/apt,5.0
8,2.0,6,9977811,150,Apartment,4,Entire home/apt,5.0
9,1.0,2,1053136,85,Apartment,132,Private room,5.0
10,1.0,1,1148625,94,Condominium,128,Private room,5.0
11,1.0,2,10412144,250,Apartment,3,Entire home/apt,4.5
12,1.0,2,11242044,100,Apartment,0,Private room,0.0
13,1.0,2,4533652,115,House,43,Private room,5.0
14,1.0,3,11680804,110,Apartment,4,Entire home/apt,4.5
15,1.0,2,6006768,140,House,59,Entire home/apt,5.0
16,1.0,2,11950868,69,Apartment,3,Private room,5.0
17,1.0,2,892836,120,Bed & Breakfast,111,Entire home/apt,5.0
0,1.0,3,4252808,130,House,25,Entire home/apt,5.0
1,1.0,2,3496808,125,Apartment,6,Private room,4.5
2,1.0,3,10477793,90,House,3,Private room,5.0
3,1.0,2,4948340,60,House,85,Private room,4.5
4,1.0,2,8839978,150,Other,6,Entire home/apt,5.0
5,1.0,2,1471683,125,House,167,Private room,5.0
6,2.0,4,8703369,229,Condominium,5,Entire home/apt,5.0
7,1.0,2,8446710,120,House,15,Private room,5.0
8,1.0,3,10347570,175,Loft,9,Entire home/apt,5.0
9,0.0,4,7904891,130,Apartment,2,Entire home/apt,0.0
10,1.0,2,7462124,125,Apartment,6,Private room,5.0
11,1.0,1,4987668,101,Bed & Breakfast,5,Private room,5.0
12,1.0,1,7462935,40,Apartment,45,Shared room,4.5
13,1.0,3,8013810,120,Apartment,6,Entire home/apt,4.5
14,1.0,1,10676501,75,House,5,Private room,4.5
15,1.0,2,11775422,89,House,0,Private room,0.0
16,1.0,2,8172628,140,Apartment,3,Private room,5.0
17,1.0,2,8685898,99,Apartment,28,Private room,4.0
0,1.0,2,6490965,149,House,2,Private room,0.0
1,2.0,4,4069838,160,House,144,Entire home/apt,5.0
2,1.0,1,256176,90,House,134,Private room,5.0
3,1.0,3,1767569,180,Apartment,15,Entire home/apt,5.0
4,1.0,2,2533484,79,Apartment,3,Private room,4.0
5,1.0,2,11345707,98,Bungalow,0,Private room,0.0
6,1.0,2,10840724,65,Apartment,1,Private room,0.0
7,1.0,2,10839800,84,Apartment,16,Private room,5.0
8,1.0,1,4424186,135,Apartment,50,Entire home/apt,4.5
9,1.0,2,11191951,100,House,13,Private room,5.0
10,1.0,2,4365969,127,House,61,Entire home/apt,5.0
11,1.0,2,5309235,90,Apartment,15,Private room,4.5
12,1.0,3,3836052,135,House,85,Private room,5.0
13,1.0,2,4439461,129,House,129,Private room,5.0
14,1.0,2,138772,180,House,36,Private room,5.0
15,1.0,2,2847155,119,House,61,Entire home/apt,5.0
16,1.0,1,6600081,95,House,58,Private room,5.0
17,1.0,2,11064517,129,Apartment,4,Entire home/apt,4.0
0,1.0,2,1484030,100,House,12,Private room,5.0
1,1.0,2,11282943,95,Apartment,5,Private room,5.0
2,0.0,2,3780418,165,Apartment,115,Entire home/apt,5.0
3,1.0,2,1393654,88,House,141,Private room,4.5
4,0.0,2,9586291,145,Apartment,1,Entire home/apt,0.0
5,1.0,2,1072791,130,House,139,Private room,5.0
6,1.0,3,10831703,81,Apartment,5,Private room,5.0
7,1.0,2,3636904,111,Apartment,19,Entire home/apt,5.0
8,1.0,2,9099548,84,Townhouse,18,Private room,5.0
9,1.0,2,3563032,145,Apartment,28,Private room,4.5
10,0.0,2,8328410,149,Apartment,23,Entire home/apt,4.5
11,1.0,2,7989636,111,Condominium,78,Private room,5.0
12,1.0,1,2203283,79,Apartment,103,Private room,5.0
13,1.0,2,6730473,110,House,19,Entire home/apt,4.5
14,1.0,2,1598872,165,Apartment,12,Entire home/apt,5.0
15,1.0,2,12191071,78,House,0,Private room,0.0
16,1.0,2,442881,195,Apartment,45,Entire home/apt,5.0
17,2.0,4,325478,285,Apartment,56,Entire home/apt,5.0
0,1.0,1,10576612,88,Apartment,2,Private room,0.0
1,1.0,2,4440859,175,Apartment,21,Entire home/apt,4.5
2,1.0,2,3073038,145,Apartment,17,Private room,5.0
3,1.0,2,2283694,150,Apartment,6,Entire home/apt,5.0
4,1.0,3,8904937,119,Apartment,6,Private room,5.0
5,1.0,2,3261876,139,Apartment,64,Private room,5.0
6,1.0,2,2956406,99,House,168,Private room,5.0
7,1.0,2,719431,109,House,131,Entire home/apt,5.0
8,1.0,2,8891103,130,Apartment,17,Private room,4.5
9,1.0,1,11303001,48,Apartment,4,Private room,5.0
10,0.0,2,9296524,149,Apartment,11,Entire home/apt,5.0
11,2.0,5,6923940,190,House,10,Entire home/apt,4.5
12,1.0,2,9065415,175,Apartment,3,Entire home/apt,4.5
13,1.0,2,21334,150,Loft,65,Entire home/apt,5.0
14,1.0,2,1863106,79,Apartment,35,Private room,4.5
15,1.0,2,8717641,175,Apartment,12,Entire home/apt,5.0
16,0.0,2,3093543,110,Apartment,99,Entire home/apt,5.0
17,1.0,2,678556,130,House,193,Entire home/apt,5.0
